Place,Latitude,Longitude
Rohini East,28.7075774,77.1259971
Peeragarhi,28.6773142,77.0931024
Vasant Kunj,28.5292495,77.1541335
Pulbangash,28.664396,77.212246
Kaushambi,28.6452857,77.3243429
Bhikaji Cama Place,28.5702618,77.1878709
Kirti Nagar,28.655746,77.1506635
Paharganj,28.6414989,77.2140607
Subhash Nagar,28.6404628,77.1052347
Old Gurgaon,28.4947315,77.0691703
Udyog Vihar,28.6822073,77.0884362
Hauz Khas,28.5498087,77.2077638
Paschim Vihar,28.6695782,77.095956
Ambience Mall,28.5411684,77.1547579
Lal Quila,28.657483,77.2366607
